CVEGEO	cases	CVE_ENT	vax_pc	ENTIDAD	MUN	Population	sum_cases_7_days	pop	vax_rate	cases_last_7_days_per_100k	prev_per_100k	prev	m_test	m_v	risk_inf_no_mitig_small	risk_inf_testing_no_vax_small	risk_inf_fully_vax_no_test_small	risk_inf_fully_vax_and_test_small	risk_inf_no_mitig_med	risk_inf_testing_no_vax_med	risk_inf_fully_vax_no_test_med	risk_inf_fully_vax_and_test_med	risk_inf_no_mitig_big	risk_inf_testing_no_vax_big	risk_inf_fully_vax_no_test_big	risk_inf_fully_vax_and_test_big
08021	18	08	97.34736838729522	08	021	150506	18	150506	0.9734736838729522	12	119.5965609344478	0.0011959656093444779	0.21399999999999997	0.9709561250368983	1.2	0.3	1.2	0.2	2.4	0.5	2.3	0.5	3.5	0.8	3.4	0.7
08025	2	08	97.34736838729522	08	025	7023	2	7023	0.9734736838729522	28	284.7785846504343	0.002847785846504343	0.21399999999999997	0.9709561250368983	2.8	0.6	2.7	0.6	5.5	1.2	5.4	1.2	8.2	1.8	8	1.8
08026	1	08	97.34736838729522	08	026	2448	1	2448	0.9734736838729522	41	408.49673202614383	0.004084967320261438	0.21399999999999997	0.9709561250368983	4	0.9	3.9	0.8	7.9	1.7	7.6	1.7	11.6	2.6	11.2	2.5
08027	4	08	97.34736838729522	08	027	50180	4	50180	0.9734736838729522	8	79.71303308090873	7.971303308090873e-4	0.21399999999999997	0.9709561250368983	0.8	0.2	0.8	0.2	1.6	0.3	1.5	0.3	2.4	0.5	2.3	0.5
08028	1	08	97.34736838729522	08	028	4237	1	4237	0.9734736838729522	24	236.0160490913382	0.002360160490913382	0.21399999999999997	0.9709561250368983	2.3	0.5	2.3	0.5	4.6	1	4.5	1	6.8	1.5	6.7	1.5
08029	3	08	97.34736838729522	08	029	50514	3	50514	0.9734736838729522	6	59.38947618482005	5.938947618482005e-4	0.21399999999999997	0.9709561250368983	0.6	0.1	0.6	0.1	1.2	0.3	1.1	0.2	1.8	0.4	1.7	0.4
08030	1	08	97.34736838729522	08	030	8196	1	8196	0.9734736838729522	12	122.01073694485115	0.0012201073694485115	0.21399999999999997	0.9709561250368983	1.2	0.3	1.2	0.3	2.4	0.5	2.3	0.5	3.6	0.8	3.5	0.8
08031	1	08	97.34736838729522	08	031	35473	1	35473	0.9734736838729522	3	28.190454712034505	2.8190454712034504e-4	0.21399999999999997	0.9709561250368983	0.3	0.1	0.3	0.1	0.6	0.1	0.5	0.1	0.8	0.2	0.8	0.2
08032	45	08	97.34736838729522	08	032	116662	45	116662	0.9734736838729522	39	385.7297149028818	0.0038572971490288183	0.21399999999999997	0.9709561250368983	3.8	0.8	3.7	0.8	7.4	1.6	7.2	1.6	10.9	2.4	10.6	2.4
08036	5	08	97.34736838729522	08	036	40859	5	40859	0.9734736838729522	12	122.37206001125823	0.0012237206001125822	0.21399999999999997	0.9709561250368983	1.2	0.3	1.2	0.3	2.4	0.5	2.3	0.5	3.6	0.8	3.5	0.8
08037	176	08	97.34736838729522	08	037	1512450	176	1512450	0.9734736838729522	12	116.36748322258588	0.0011636748322258587	0.21399999999999997	0.9709561250368983	1.2	0.2	1.1	0.2	2.3	0.5	2.2	0.5	3.4	0.7	3.3	0.7
08038	1	08	97.34736838729522	08	038	4980	1	4980	0.9734736838729522	20	200.8032128514056	0.002008032128514056	0.21399999999999997	0.9709561250368983	2	0.4	1.9	0.4	3.9	0.9	3.8	0.8	5.9	1.3	5.7	1.2
08039	7	08	97.34736838729522	08	039	4122	7	4122	0.9734736838729522	170	1698.2047549733138	0.016982047549733138	0.21399999999999997	0.9709561250368983	15.7	3.6	15.3	3.5	29	7	28.3	6.8	40.2	10.3	39.3	10.1
08040	1	08	97.34736838729522	08	040	25144	1	25144	0.9734736838729522	4	39.770919503658924	3.9770919503658925e-4	0.21399999999999997	0.9709561250368983	0.4	0.1	0.4	0.1	0.8	0.2	0.8	0.2	1.2	0.3	1.2	0.2
08043	1	08	97.34736838729522	08	043	2742	1	2742	0.9734736838729522	36	364.69730123997084	0.0036469730123997084	0.21399999999999997	0.9709561250368983	3.6	0.8	3.5	0.8	7	1.5	6.8	1.5	10.4	2.3	10.1	2.2
08044	4	08	97.34736838729522	08	044	4314	4	4314	0.9734736838729522	93	927.2137227630969	0.00927213722763097	0.21399999999999997	0.9709561250368983	8.9	2	8.6	1.9	17	3.9	16.5	3.8	24.4	5.8	23.8	5.6
08045	5	08	97.34736838729522	08	045	44853	5	44853	0.9734736838729522	11	111.47526363899851	0.001114752636389985	0.21399999999999997	0.9709561250368983	1.1	0.2	1.1	0.2	2.2	0.5	2.1	0.5	3.3	0.7	3.2	0.7
08048	3	08	97.34736838729522	08	048	22712	3	22712	0.9734736838729522	13	132.08876364917225	0.0013208876364917224	0.21399999999999997	0.9709561250368983	1.3	0.3	1.3	0.3	2.6	0.6	2.5	0.5	3.9	0.8	3.8	0.8
08050	3	08	97.34736838729522	08	050	65753	3	65753	0.9734736838729522	5	45.625294663361366	4.5625294663361365e-4	0.21399999999999997	0.9709561250368983	0.5	0.1	0.4	0.1	0.9	0.2	0.9	0.2	1.4	0.3	1.3	0.3
08052	28	08	97.34736838729522	08	052	24534	28	24534	0.9734736838729522	114	1141.273334963724	0.011412733349637239	0.21399999999999997	0.9709561250368983	10.8	2.4	10.5	2.3	20.5	4.8	20	4.6	29.1	7.1	28.4	6.9
08055	1	08	97.34736838729522	08	055	16776	1	16776	0.9734736838729522	6	59.60896518836432	5.960896518836433e-4	0.21399999999999997	0.9709561250368983	0.6	0.1	0.6	0.1	1.2	0.3	1.2	0.2	1.8	0.4	1.7	0.4
08059	9	08	97.34736838729522	08	059	5004	9	5004	0.9734736838729522	180	1798.5611510791366	0.017985611510791366	0.21399999999999997	0.9709561250368983	16.6	3.8	16.2	3.7	30.4	7.4	29.7	7.2	42	10.9	41.1	10.6
08060	7	08	97.34736838729522	08	060	11582	7	11582	0.9734736838729522	60	604.3861163874979	0.006043861163874978	0.21399999999999997	0.9709561250368983	5.9	1.3	5.7	1.2	11.4	2.6	11.1	2.5	16.6	3.8	16.2	3.7
08062	1	08	97.34736838729522	08	062	29862	1	29862	0.9734736838729522	3	33.48737525952716	3.348737525952716e-4	0.21399999999999997	0.9709561250368983	0.3	0.1	0.3	0.1	0.7	0.1	0.6	0.1	1	0.2	1	0.2
08064	1	08	97.34736838729522	08	064	1448	1	1448	0.9734736838729522	69	690.6077348066298	0.006906077348066298	0.21399999999999997	0.9709561250368983	6.7	1.5	6.5	1.4	12.9	2.9	12.6	2.8	18.8	4.3	18.3	4.2
09002	152	09	127.10270551047867	09	002	432205	152	432205	1.2710270551047866	35	351.6849643109173	0.0035168496431091725	0.21399999999999997	1.4401466144508008	3.5	0.8	5	1.1	6.8	1.5	9.7	2.1	10	2.2	14.1	3.2
09003	86	09	127.10270551047867	09	003	614447	86	614447	1.2710270551047866	14	139.96325150908052	0.0013996325150908051	0.21399999999999997	1.4401466144508008	1.4	0.3	2	0.4	2.8	0.6	4	0.9	4.1	0.9	5.9	1.3
